Item Name,Base,Protein,Sauce,Spice Level,Price,Is_Vegan,Is_Vegetarian,Description
"Waffle Fries with Paneer Topping, Tandoori (Level 3)",Waffle Fries,Paneer,Tandoori,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Paneer Topping, Tandoori (Level 4)",Waffle Fries,Paneer,Tandoori,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Paneer Topping, Aioli (Level 1)",Waffle Fries,Paneer,Aioli,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Paneer Topping, Aioli (Level 2)",Waffle Fries,Paneer,Aioli,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Paneer Topping, Aioli (Level 3)",Waffle Fries,Paneer,Aioli,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Paneer Topping, Aioli (Level 4)",Waffle Fries,Paneer,Aioli,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Paneer Topping, Cheesy Muhammara (Level 1)",Waffle Fries,Paneer,Cheesy Muhammara,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Paneer Topping, Cheesy Muhammara (Level 2)",Waffle Fries,Paneer,Cheesy Muhammara,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Paneer Topping, Cheesy Muhammara (Level 3)",Waffle Fries,Paneer,Cheesy Muhammara,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Paneer Topping, Cheesy Muhammara (Level 4)",Waffle Fries,Paneer,Cheesy Muhammara,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Chicken Topping, Afghani Butter (Level 1)",Waffle Fries,Chicken,Afghani Butter,Level 1,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 1. Contains meat."
"Waffle Fries with Chicken Topping, Afghani Butter (Level 2)",Waffle Fries,Chicken,Afghani Butter,Level 2,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 2. Contains meat."
"Waffle Fries with Chicken Topping, Afghani Butter (Level 3)",Waffle Fries,Chicken,Afghani Butter,Level 3,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 3. Contains meat."
"Waffle Fries with Chicken Topping, Afghani Butter (Level 4)",Waffle Fries,Chicken,Afghani Butter,Level 4,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 4. Contains meat."
"Waffle Fries with Chicken Topping, Pindi (Level 1)",Waffle Fries,Chicken,Pindi,Level 1,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 1. Contains meat."
"Waffle Fries with Chicken Topping, Pindi (Level 2)",Waffle Fries,Chicken,Pindi,Level 2,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 2. Contains meat."
"Waffle Fries with Chicken Topping, Pindi (Level 3)",Waffle Fries,Chicken,Pindi,Level 3,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 3. Contains meat."
"Waffle Fries with Chicken Topping, Pindi (Level 4)",Waffle Fries,Chicken,Pindi,Level 4,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 4. Contains meat."
"Waffle Fries with Chicken Topping, Tandoori (Level 1)",Waffle Fries,Chicken,Tandoori,Level 1,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 1. Contains meat."
"Waffle Fries with Chicken Topping, Tandoori (Level 2)",Waffle Fries,Chicken,Tandoori,Level 2,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 2. Contains meat."
"Waffle Fries with Chicken Topping, Tandoori (Level 3)",Waffle Fries,Chicken,Tandoori,Level 3,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 3. Contains meat."
"Waffle Fries with Chicken Topping, Tandoori (Level 4)",Waffle Fries,Chicken,Tandoori,Level 4,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 4. Contains meat."
"Waffle Fries with Chicken Topping, Aioli (Level 1)",Waffle Fries,Chicken,Aioli,Level 1,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 1. Contains meat."
"Waffle Fries with Chicken Topping, Aioli (Level 2)",Waffle Fries,Chicken,Aioli,Level 2,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 2. Contains meat."
"Waffle Fries with Chicken Topping, Aioli (Level 3)",Waffle Fries,Chicken,Aioli,Level 3,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 3. Contains meat."
"Waffle Fries with Chicken Topping, Aioli (Level 4)",Waffle Fries,Chicken,Aioli,Level 4,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 4. Contains meat."
"Waffle Fries with Chicken Topping, Cheesy Muhammara (Level 1)",Waffle Fries,Chicken,Cheesy Muhammara,Level 1,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 1. Contains meat."
"Waffle Fries with Chicken Topping, Cheesy Muhammara (Level 2)",Waffle Fries,Chicken,Cheesy Muhammara,Level 2,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 2. Contains meat."
"Waffle Fries with Chicken Topping, Cheesy Muhammara (Level 3)",Waffle Fries,Chicken,Cheesy Muhammara,Level 3,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 3. Contains meat."
"Waffle Fries with Chicken Topping, Cheesy Muhammara (Level 4)",Waffle Fries,Chicken,Cheesy Muhammara,Level 4,14.99,No,No,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with tender chicken pieces, perfectly cooked.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 4. Contains meat."
"Waffle Fries with Soya Topping, Afghani Butter (Level 1)",Waffle Fries,Soya,Afghani Butter,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Soya Topping, Afghani Butter (Level 2)",Waffle Fries,Soya,Afghani Butter,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Soya Topping, Afghani Butter (Level 3)",Waffle Fries,Soya,Afghani Butter,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Soya Topping, Afghani Butter (Level 4)",Waffle Fries,Soya,Afghani Butter,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Soya Topping, Pindi (Level 1)",Waffle Fries,Soya,Pindi,Level 1,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 1. Vegan. Vegetarian."
"Waffle Fries with Soya Topping, Pindi (Level 2)",Waffle Fries,Soya,Pindi,Level 2,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 2. Vegan. Vegetarian."
"Waffle Fries with Soya Topping, Pindi (Level 3)",Waffle Fries,Soya,Pindi,Level 3,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 3. Vegan. Vegetarian."
"Waffle Fries with Soya Topping, Pindi (Level 4)",Waffle Fries,Soya,Pindi,Level 4,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 4. Vegan. Vegetarian."
"Waffle Fries with Soya Topping, Tandoori (Level 1)",Waffle Fries,Soya,Tandoori,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Soya Topping, Tandoori (Level 2)",Waffle Fries,Soya,Tandoori,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Soya Topping, Tandoori (Level 3)",Waffle Fries,Soya,Tandoori,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Soya Topping, Tandoori (Level 4)",Waffle Fries,Soya,Tandoori,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Soya Topping, Aioli (Level 1)",Waffle Fries,Soya,Aioli,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Soya Topping, Aioli (Level 2)",Waffle Fries,Soya,Aioli,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Soya Topping, Aioli (Level 3)",Waffle Fries,Soya,Aioli,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Soya Topping, Aioli (Level 4)",Waffle Fries,Soya,Aioli,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Soya Topping, Cheesy Muhammara (Level 1)",Waffle Fries,Soya,Cheesy Muhammara,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Soya Topping, Cheesy Muhammara (Level 2)",Waffle Fries,Soya,Cheesy Muhammara,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Soya Topping, Cheesy Muhammara (Level 3)",Waffle Fries,Soya,Cheesy Muhammara,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Soya Topping, Cheesy Muhammara (Level 4)",Waffle Fries,Soya,Cheesy Muhammara,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crispy soya chunks, hearty and satisfying.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Falafel Topping, Afghani Butter (Level 1)",Waffle Fries,Falafel,Afghani Butter,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Falafel Topping, Afghani Butter (Level 2)",Waffle Fries,Falafel,Afghani Butter,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Falafel Topping, Afghani Butter (Level 3)",Waffle Fries,Falafel,Afghani Butter,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Falafel Topping, Afghani Butter (Level 4)",Waffle Fries,Falafel,Afghani Butter,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Falafel Topping, Pindi (Level 1)",Waffle Fries,Falafel,Pindi,Level 1,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 1. Vegan. Vegetarian."
"Waffle Fries with Falafel Topping, Pindi (Level 2)",Waffle Fries,Falafel,Pindi,Level 2,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 2. Vegan. Vegetarian."
"Waffle Fries with Falafel Topping, Pindi (Level 3)",Waffle Fries,Falafel,Pindi,Level 3,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 3. Vegan. Vegetarian."
"Waffle Fries with Falafel Topping, Pindi (Level 4)",Waffle Fries,Falafel,Pindi,Level 4,14.99,Yes,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 4. Vegan. Vegetarian."
"Waffle Fries with Falafel Topping, Tandoori (Level 1)",Waffle Fries,Falafel,Tandoori,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Falafel Topping, Tandoori (Level 2)",Waffle Fries,Falafel,Tandoori,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Falafel Topping, Tandoori (Level 3)",Waffle Fries,Falafel,Tandoori,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Falafel Topping, Tandoori (Level 4)",Waffle Fries,Falafel,Tandoori,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Falafel Topping, Aioli (Level 1)",Waffle Fries,Falafel,Aioli,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Falafel Topping, Aioli (Level 2)",Waffle Fries,Falafel,Aioli,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Falafel Topping, Aioli (Level 3)",Waffle Fries,Falafel,Aioli,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Falafel Topping, Aioli (Level 4)",Waffle Fries,Falafel,Aioli,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Aioli—a bright garlic aioli with fresh kale and mint. Mild and refreshing. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Falafel Topping, Cheesy Muhammara (Level 1)",Waffle Fries,Falafel,Cheesy Muhammara,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Falafel Topping, Cheesy Muhammara (Level 2)",Waffle Fries,Falafel,Cheesy Muhammara,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with crunchy falafel, bursting with herbs and spices.. Finished with Cheesy Muhammara—a smoky roasted red pepper and walnut dip with pomegranate. Mild, creamy, and nutty. Spice Level: Level 2. Vegetarian."
